,0,1,2,3,4
11,2015-12-22,雅力科技,100%,1.3亿人民币,电光科技
12,2015-12-19,哈林秀王,55%,2000万人民币,华旅新绩体育投资
13,2015-12-16,掌信彩通,100%,14.6亿人民币,天音通信
14,2015-12-15,腾云智航,55%,1000万人民币,中海达
0,2015-12-14,淘米网,未透露,未透露,东方证券(东方星晖)
1,2015-12-11,南华早报,100%,2.66亿美元,阿里巴巴
2,2015-12-08,夜购网络,100%,未透露,8天在线
3,2015-12-08,世纪佳缘,未透露,未透露,百合网
4,2015-12-08,六迪课堂,100%,7500万人民币,电光科技
5,2015-12-07,如家酒店,100%,110.5亿人民币,首旅酒店集团(首旅如家)
6,2015-12-05,春天融和,100%,18亿人民币,共达电声
7,2015-12-04,长益科技,100%,6.3亿人民币,石基信息
8,2015-12-04,乐华娱乐,100%,23.2亿人民币,共达电声
9,2015-12-01,CMGE中手游,100%,65.24亿人民币,世纪华通
10,2015-12-01,趣加游戏FunPlus,100%,69.39亿人民币,世纪华通
11,2015-12-01,申通快递,100%,169亿人民币,艾迪西
12,2015-11-30,大嘴巴网上超市,100%,数千万人民币,8天在线
13,2015-11-27,喜游国旅,60%,8.8亿人民币,腾邦国际
14,2015-11-26,eFuture富基融通,51%,1675万美元,石基信息
0,2015-11-24,米乐互动,100%,数千万人民币,南派泛娱
1,2015-11-24,统统付,63%,3560万美元,500彩票网
2,2015-11-20,东阳美拉传媒,70%,10.5亿人民币,华谊兄弟
3,2015-11-20,加诚博教,未透露,未透露,立思辰
4,2015-11-19,盛月网络GameMoon,100%,未透露,游久游戏(爱使股份)
5,2015-11-18,君道生涯,未透露,未透露,校导网
6,2015-11-17,嘉亨泰科技,51%,6630万人民币,嘉达早教
7,2015-11-16,美家鲜生,100%,未透露,每日优鲜
8,2015-11-13,盈博讯彩,51%,1.5亿人民币,华旅新绩体育投资
9,2015-11-13,蓝瀚科技,96%,18.52亿人民币,蓝色光标
10,2015-11-13,盈博讯彩,51%,数亿人民币,国旅联合
11,2015-11-12,正泰新能源,100%,94亿人民币,正泰电器
12,2015-11-12,先锋租赁,100%,未透露,宝马金融
13,2015-11-12,安沃传媒Adwo,20%,2.08亿人民币,湖南电广传媒
14,2015-11-10,维尔科技,未透露,10亿人民币,远方光电
0,2016-07-27,时光网Mtime,100%,2.8亿美元,万达院线(万达影视)
1,2016-07-27,圣火药业,100%,18.9亿人民币,华润三九
2,2016-07-26,北京远特科技,100%,6.75亿人民币,兴民钢圈
3,2016-07-26,凯立德,100%,16亿人民币,兴民钢圈
4,2016-07-26,奥腾电子,56%,5.5亿人民币,兴民钢圈
5,2016-07-25,点名时间,100%,未透露,91金融
6,2016-07-22,隆麟Maxer麦克斯电竞,100%,4.14亿人民币,万好万家文化
7,2016-07-22,快屏网络电竞虎,100%,3.7亿人民币,万好万家文化
8,2016-07-22,联汛教育,80%,5.76亿人民币,文化长城
9,2016-07-20,开心网,100%,未透露,赛为智能
10,2016-07-19,留学360教育,100%,3.44亿人民币,立思辰
11,2016-07-18,酷狗音乐,100%,数亿人民币,腾讯
12,2016-07-18,酷我音乐,100%,未透露,腾讯
13,2016-07-15,萝卜玩,100%,数千万人民币,游龙网络
14,2016-07-15,恒峰信息,100%,8.06亿人民币,汇冠股份
0,2016-07-15,海洋音乐China Music Corp,60%,数亿美元,腾讯
1,2016-07-08,华苏科技,99%,11.8亿人民币,神州数码
2,2016-07-07,五千年医药,100%,1680万人民币,阿里健康(阿里巴巴)
3,2016-07-05,豌豆荚,100%,2亿美元,阿里巴巴
4,2016-07-05,OnlyLady女人志,80%,2.94亿人民币,星球六鞋业
5,2016-07-05,Kimiss闺蜜网,70%,7700万人民币,星球六鞋业
6,2016-07-03,伊尔美港华,80%,2.08亿人民币,苏宁环球
